# Time-averaged data for fix rec
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
20000 250
101 3.417 1.46849 11.4531
102 3.451 0.953365 11.6621
103 3.485 0.617474 11.8001
104 3.519 0.372053 11.8849
105 3.553 0.218191 11.9356
106 3.587 0.1272 11.9657
107 3.621 0.0650487 11.9814
108 3.655 0.0393516 11.9911
109 3.689 0.0207628 11.9963
110 3.723 0.00744916 11.9982
111 3.757 0.0033671 11.9991
112 3.791 0.00255266 11.9997
113 3.825 0.00102003 12
114 3.859 0.00072894 12.0002
115 3.893 0.00107459 12.0005
116 3.927 0.00123093 12.0009
117 3.961 0.00346133 12.0019
118 3.995 0.0048511 12.0033
119 4.029 0.0121298 12.0069
120 4.063 0.0207259 12.0132
121 4.097 0.0351188 12.0241
122 4.131 0.0567344 12.0419
123 4.165 0.0969153 12.0728
124 4.199 0.156197 12.1235
125 4.233 0.236314 12.2015
126 4.267 0.345336 12.3172
127 4.301 0.49118 12.4845
128 4.335 0.662541 12.7137
129 4.369 0.832533 13.0063
130 4.403 1.02844 13.3733
131 4.437 1.19207 13.8053
132 4.471 1.34473 14.3002
133 4.505 1.42135 14.8312
134 4.539 1.41475 15.3678
135 4.573 1.36266 15.8923
136 4.607 1.22545 16.3711
137 4.641 1.05626 16.7899
138 4.675 0.875216 17.142
139 4.709 0.665595 17.4136
140 4.743 0.491385 17.6171
141 4.777 0.34247 17.7609
142 4.811 0.232031 17.8598
143 4.845 0.148006 17.9238
144 4.879 0.106637 17.9705
145 4.913 0.0851291 18.0083
146 4.947 0.0847765 18.0465
147 4.981 0.108162 18.0959
148 5.015 0.15459 18.1675
149 5.049 0.198605 18.2607
150 5.083 0.266995 18.3877
151 5.117 0.345349 18.5542
152 5.151 0.433728 18.766
153 5.185 0.548218 19.0373
154 5.219 0.670383 19.3735
155 5.253 0.826803 19.7935
156 5.287 1.03804 20.3276
157 5.321 1.29222 21.0011
158 5.355 1.60286 21.8473
159 5.389 1.94859 22.8891
160 5.423 2.28546 24.1264
161 5.457 2.57084 25.5357
162 5.491 2.78963 27.084
163 5.525 2.90703 28.7175
164 5.559 2.88148 30.3567
165 5.593 2.69572 31.9089
166 5.627 2.41667 33.3174
167 5.661 2.06837 34.5376
168 5.695 1.67747 35.539
169 5.729 1.33141 36.3434
170 5.763 1.0134 36.9629
171 5.797 0.787902 37.4503
172 5.831 0.655896 37.8608
173 5.865 0.615485 38.2505
174 5.899 0.665815 38.677
175 5.933 0.797895 39.1941
176 5.967 0.980148 39.8366
177 6.001 1.18712 40.6236
178 6.035 1.38127 41.5496
179 6.069 1.5619 42.6087
180 6.103 1.68388 43.7632
181 6.137 1.75303 44.9786
182 6.171 1.75058 46.2057
183 6.205 1.68368 47.399
184 6.239 1.5874 48.5365
185 6.273 1.48491 49.612
186 6.307 1.36489 50.6115
187 6.341 1.23695 51.527
188 6.375 1.10445 52.3532
189 6.409 0.979954 53.0942
190 6.443 0.852309 53.7454
191 6.477 0.722353 54.3032
192 6.511 0.578603 54.7547
193 6.545 0.464585 55.1211
194 6.579 0.346908 55.3974
195 6.613 0.260264 55.6069
196 6.647 0.182043 55.755
197 6.681 0.135016 55.8659
198 6.715 0.101264 55.9499
199 6.749 0.0904304 56.0258
200 6.783 0.10617 56.1157
201 6.817 0.13492 56.2311
202 6.851 0.185016 56.391
203 6.885 0.26407 56.6215
204 6.919 0.360281 56.939
205 6.953 0.476988 57.3635
206 6.987 0.618935 57.9198
207 7.021 0.762463 58.6117
208 7.055 0.89091 59.428
209 7.089 1.00516 60.3579
210 7.123 1.07868 61.3654
211 7.157 1.11481 62.4165
212 7.191 1.10607 63.4694
213 7.225 1.04368 64.4722
214 7.259 0.955645 65.3992
215 7.293 0.866402 66.2474
216 7.327 0.77536 67.0136
217 7.361 0.719047 67.7308
218 7.395 0.704667 68.4402
219 7.429 0.720738 69.1724
220 7.463 0.785932 69.9783
221 7.497 0.876315 70.885
222 7.531 0.970291 71.898
223 7.565 1.06805 73.0232
224 7.599 1.1416 74.2367
225 7.633 1.19264 75.5159
226 7.667 1.20139 76.8158
227 7.701 1.19287 78.1181
228 7.735 1.15861 79.3941
229 7.769 1.09896 80.6151
230 7.803 1.05036 81.7923
231 7.837 1.00346 82.9269
232 7.871 0.961229 84.023
233 7.905 0.938623 85.1028
234 7.939 0.929426 86.1811
235 7.973 0.949784 87.2925
236 8.007 0.981369 88.4508
237 8.041 1.0316 89.6786
238 8.075 1.09066 90.9878
239 8.109 1.16296 92.3955
240 8.143 1.25273 93.9247
241 8.177 1.37044 95.6115
242 8.211 1.4952 97.4672
243 8.245 1.62402 99.4996
244 8.279 1.77291 101.737
245 8.313 1.89761 104.151
246 8.347 2.01601 106.736
247 8.381 2.0944 109.444
248 8.415 2.13678 112.23
249 8.449 2.12052 115.016
250 8.483 2.08019 117.772
